               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/elephant_mAP,metrics/elephant_mAP_50
                   0,              0.1403,            0.013135,                   0,          0.00056777,            0.072515,          0.00045057,           9.873e-05,             0.13316,            0.010898,                   0,            0.070119,           0.0033202,           0.0033202,           9.873e-05,          0.00045057
                   1,             0.11716,             0.01461,                   0,              0.0534,            0.042105,            0.013563,           0.0038339,              0.1192,            0.014351,                   0,            0.038801,           0.0053361,           0.0053361,           0.0038339,            0.013563
                   2,             0.10937,            0.014667,                   0,            0.079153,             0.05848,            0.021098,           0.0060437,              0.1141,             0.03455,                   0,           0.0061638,            0.006032,            0.006032,           0.0060437,            0.021098
                   3,             0.10684,            0.014212,                   0,             0.12172,            0.098246,            0.044643,            0.013453,             0.11247,            0.019513,                   0,             0.00406,             0.00406,             0.00406,            0.013453,            0.044643
                   4,             0.10424,            0.014074,                   0,             0.16432,             0.10526,            0.053185,            0.015617,              0.1122,            0.013421,                   0,             0.00406,             0.00406,             0.00406,            0.015617,            0.053185
